poll_id,token,institution,is_info_useful,is_info_missing,missing_info,improvements,date,missing_info_sentiment,improvements_sentiment,missing_info_en,improvements_en,missing_info_adj,improvements_adj,missing_info_noun_adj,improvements_noun_adj,missing_info_en_adj,improvements_en_adj,missing_info_en_noun_adj,improvements_en_noun_adj
3812,SFP54,SFP-04-001,1,Sí,contactos de oficinas estatales o municipales nombres de inspectores direcciones de ubicacion y telefonos de asistencia locales,poder alaborar en linea la queja mediante un questionario basico de el problema y los datos de la institucion donde se esta presentando la queja una forma de retroalimentacion apra saber que si se esta viendo el caso o tomando en cuenta,2016-03-10,0.0,0,contact state or municipal offices inspectors names addresses and phone location local assistance,alaborar to the complaint online using a basic questionnaire of the problem and data from the institution where you are filing the complaint a form of feedback apra know that if you are watching the case or taking into account,estatales municipales inspectores telefonos locales,basico,Contactos oficinas estatales municipales Nombres inspectores direcciones ubicacion telefonos asistencia locales,linea questionario basico problema datos institucion queja forma retroalimentacion apra caso cuenta,municipal local,basic,state municipal offices Inspectors names addresses phone location local assistance,Alaborar complaint basic questionnaire problem data institution filing complaint form feedback APRA case account
3755,SFP54,SFP-04-001,1,Sí,contactos de oficinas estatales o municipales nombres de inspectores direcciones de ubicacion y telefonos de asistencia locales,poder alaborar en linea la queja mediante un questionario basico de el problema y los datos de la institucion donde se esta presentando la queja una forma de retroalimentacion apra saber que si se esta viendo el caso o tomando en cuenta,2016-03-10,0.0,0,contact state or municipal offices inspectors names addresses and phone location local assistance,alaborar to the complaint online using a basic questionnaire of the problem and data from the institution where you are filing the complaint a form of feedback apra know that if you are watching the case or taking into account,estatales municipales inspectores telefonos locales,basico,Contactos oficinas estatales municipales Nombres inspectores direcciones ubicacion telefonos asistencia locales,linea questionario basico problema datos institucion queja forma retroalimentacion apra caso cuenta,municipal local,basic,state municipal offices Inspectors names addresses phone location local assistance,Alaborar complaint basic questionnaire problem data institution filing complaint form feedback APRA case account
3756,SFP54,SFP-04-001,1,Sí,contactos de oficinas estatales o municipales nombres de inspectores direcciones de ubicacion y telefonos de asistencia locales,poder alaborar en linea la queja mediante un questionario basico de el problema y los datos de la institucion donde se esta presentando la queja una forma de retroalimentacion apra saber que si se esta viendo el caso o tomando en cuenta,2016-03-10,0.0,0,contact state or municipal offices inspectors names addresses and phone location local assistance,alaborar to the complaint online using a basic questionnaire of the problem and data from the institution where you are filing the complaint a form of feedback apra know that if you are watching the case or taking into account,estatales municipales inspectores telefonos locales,basico,Contactos oficinas estatales municipales Nombres inspectores direcciones ubicacion telefonos asistencia locales,linea questionario basico problema datos institucion queja forma retroalimentacion apra caso cuenta,municipal local,basic,state municipal offices Inspectors names addresses phone location local assistance,Alaborar complaint basic questionnaire problem data institution filing complaint form feedback APRA case account
3796,SFP54,SFP-04-001,1,Sí,contactos de oficinas estatales o municipales nombres de inspectores direcciones de ubicacion y telefonos de asistencia locales,poder alaborar en linea la queja mediante un questionario basico de el problema y los datos de la institucion donde se esta presentando la queja una forma de retroalimentacion apra saber que si se esta viendo el caso o tomando en cuenta,2016-03-10,0.0,0,contact state or municipal offices inspectors names addresses and phone location local assistance,alaborar to the complaint online using a basic questionnaire of the problem and data from the institution where you are filing the complaint a form of feedback apra know that if you are watching the case or taking into account,estatales municipales inspectores telefonos locales,basico,Contactos oficinas estatales municipales Nombres inspectores direcciones ubicacion telefonos asistencia locales,linea questionario basico problema datos institucion queja forma retroalimentacion apra caso cuenta,municipal local,basic,state municipal offices Inspectors names addresses phone location local assistance,Alaborar complaint basic questionnaire problem data institution filing complaint form feedback APRA case account
3803,SFP54,SFP-04-001,1,Sí,contactos de oficinas estatales o municipales nombres de inspectores direcciones de ubicacion y telefonos de asistencia locales,poder alaborar en linea la queja mediante un questionario basico de el problema y los datos de la institucion donde se esta presentando la queja una forma de retroalimentacion apra saber que si se esta viendo el caso o tomando en cuenta,2016-03-10,0.0,0,contact state or municipal offices inspectors names addresses and phone location local assistance,alaborar to the complaint online using a basic questionnaire of the problem and data from the institution where you are filing the complaint a form of feedback apra know that if you are watching the case or taking into account,estatales municipales inspectores telefonos locales,basico,Contactos oficinas estatales municipales Nombres inspectores direcciones ubicacion telefonos asistencia locales,linea questionario basico problema datos institucion queja forma retroalimentacion apra caso cuenta,municipal local,basic,state municipal offices Inspectors names addresses phone location local assistance,Alaborar complaint basic questionnaire problem data institution filing complaint form feedback APRA case account
3817,SRE117,SRE-03-006-A,1,No,,"que la linea  que manejan tenga mas accesibilidad ya que se batalla mucho para que entre y contesten la llamada

en varias ocaciones dice que el numero no existe o que este numero no puede recibir llamadas

esto es muy molesto ya que se pierde mucho tiempo",2016-03-11,0.0,0,,"line that have handled more than  accessibility much as you battle to enter and answer call

on several occasions says number does not exist or that this number can not receive calls

this is very annoying as long lost",,MOLESTO,,LINEA ACCESIBILIDAD LLAMADA OCACIONES NUMERO LLAMADAS MOLESTO TIEMPO,,MORE MUCH several ANNOYING,,LINE MORE ACCESSIBILITY MUCH answer CALL several occasions NUMBER NUMBER CALLS ANNOYING
3819,SRE112,SRE-03-002,0,Sí,como hago la cita el nico numero que dan y que no muestra esta pagina no funciona,,2016-03-11,0.0,1,how can i quote    single number giving and does not display this page does not work ,,nico,,cita nico numero pagina,,single,,Ñ single number display page work,
3861,SRE112,SRE-03-002,1,No,,"estoy tratando de registrar una cita en lnea con el usuario alexxferragmailcom me aparece el numero de folio capturo datos de mi acta de nacimiento y de identificacin oficial y cundo tengo que capturar mi domicilio en el campo colonia no aparece ninguna opcin al dejarlo en blanco no me permite continuar porque detecta que la informacin es incompleta

me pueden apoyar

el la lnea telefnica para registrar citas no contestan",2016-03-16,1.0,0,,"im trying to register an appointment lnea alexxferragmailcom user i get folio number captured my data and birth identificaci n cundo official and i have to catch my home in the field colonia  no no appears opci n a the blank no me quit allows that detect continue because informaci n is incomplete

me can support

la lnea telef nica appointments to record no reply",,TRATANDO alexxferra OFICIAL INCOMPLETA,,TRATANDO CITA USUARIO alexxferra gmail.com NUMERO DATOS ACTA NACIMIENTO IDENTIFICACIГ OFICIAL DOMICILIO CAMPO COLONIA OPCIГ N DEJARLO INFORMACIГ N INCOMPLETA CITAS,,INCOMPLETE,,register appointment LГЌNEA alexxferra gmail.com user FOLIO NUMBER DATA BIRTH IDENTIFICACIГ N CUNDO OFFICIAL HOME FIELD COLONIA N BLANK DETECT INFORMACIГ N INCOMPLETE support LA LГЌNEA TELEFГ NICA APPOINTMENTS REPLY
3867,SRE112,SRE-03-002,0,Sí,"no pude hacer el tramite de sacar una cita
las opciones conforme va uno avanzando me regresan al inicio
el  de igual forma es cansado y no se logra sacar la cita atravez de este medio
desesperante",pues yo creo que si pueden,2016-03-17,0.0,0,"i could not do the processing of schedule an appointment
options under one go ahead me return to the home
 the form is tired of the same and does take no appointment right through hereby
maddening",well i think that if they can,CONFORME AVANZANDO IGUAL CANSADO DESESPERANTE,,TRAMITE CITA OPCIONES CONFORME AVANZANDO INICIO IGUAL FORMA CANSADO CITA MEDIO DESESPERANTE,,TIRED SAME MADDENING,,schedule appointment OPTIONS HOME FORM TIRED SAME APPOINTMENT MADDENING,
3863,SRE112,SRE-03-002,1,No,,"si sera de gran ayuda que se pudiera tramitar la cita va internet o que el servicio de la linea   fuera mas fluida para responder a las llamadas
gracias",2016-03-17,1.0,0,,"if serd aa great help that could process the appointment vd aa internet or service line  out more fluid to answer calls
thank you",,gran fluida llamadas,,gran ayuda cita vÐ Â­a internet servicio linea fluida llamadas,,great,,SERD great help appointment vd AA internet service line fluid answer calls
3864,SRE112,SRE-03-002,0,Sí,falta que el menu global de la pagina del gobierno de mxico este mas accesible todo parece estar bien pero al momento de buscar no es nada practico les sugiero que soloquen menus hacia cada subdominio de cada dependencia de gobierno para facilitar las busquedas y otra cosa no encuentro en ningun lado la forma de agendar cita por internet para pasaporte,lo comentado anteriormente,2016-03-17,0.0,0,lack the overall menu page of the government of md   mexico more accessible everything seems fine but the time to seek is not practical i suggest you soloquen menus to each subdomain of each government agency to facilitate searches and another thing i can not find anywhere how to schedule an appointment online passport,i mentioned earlier,global mÐ Â©xico accesible practico,comentado,Falta menu global pagina gobierno mÐ Â©xico accesible momento practico menus subdominio dependencia gobierno busquedas cosa lado cita internet pasaporte,comentado,overall accessible fine practical soloquen online,,overall menu page government MD Mexico accessible everything fine time practical soloquen menus subdomain government agency searches thing schedule appointment online passport,
3868,SRE113,SRE-03-003,1,Sí,"hace falta que den toda la informacion completa 

donde se realiza el pago
que documentos llevar
cuantas fotografas
telfono de contacto
creo que es conveniente tener un formulario de contacto donde se puedan agendar las citas por internet
el telfono para hacer una cita no aparece en esta pagina","mucho

por favor piensen en toda la gente que no tiene acceso diario a internet si a uno le cuesta trabajo encontrar la informacin que estoy solicitando solo imaginen a una persona adulta o personas con poco acceso que no tenga mucho contacto con la tecnologa",2016-03-17,0.0,0,"it needs to give complete information

where payment is made
to carry documents
fotograf few aas
tel   phone contact
i think it is convenient to have a contact form where they can schedule appointments online
the tel   phone to make an appointment does not appear on this page","much

please think about all the people who have daily access to internet if one has trouble finding the informaci n im asking just imagine an adult or people with limited access which does not have much contact with the tecnolog aa ",completa conveniente,diario adulta,falta informacion completa pago documentos Â­as contacto conveniente formulario contacto citas internet cita pagina,favor gente acceso diario internet trabajo informaciÐ persona adulta personas acceso contacto tecnologÐ Â­a,complete convenient,Much daily adult much,complete information payment documents FotografÐ Aas TelÐ phone contact convenient contact form schedule appointments telÐ Â phone appointment page,Much people daily access internet trouble informaciÐ Ñ -n adult people access much contact tecnolog Ð aa
